track,artist,date
It wasn't me,Shaggy,2022-01-03T06:51
Head Shoulders Knees & Toes,Ofenbach & Quarterhead feat. Norma Jean Martine,2022-01-03T06:48
Don't go,Yazoo,2022-01-03T06:44
Moth to a flame,Swedish House Mafia & The Weeknd,2022-01-03T06:42
Auf uns,Andreas Bourani,2022-01-03T06:36
Follow you,Imagine Dragons,2022-01-03T06:34
Waves,Mr. Probz,2022-01-03T06:27
What a man gotta do,Jonas Brothers,2022-01-03T06:24
Alane,Wes,2022-01-03T06:20
Stay,The Kid Laroi & Justin Bieber,2022-01-03T06:18
Don't break the heart,Tom Grennan,2022-01-03T06:14
Rolling in the deep,Adele,2022-01-03T06:11
Use somebody,Kings Of Leon,2022-01-03T06:06
Your favourite song,YouNotUs & Julian Perretta,2022-01-03T06:03
Moves,Olly Murs feat. Snoop Dogg,2022-01-03T05:57
Moves,Olly Murs feat. Snoop Dogg,2022-01-03T05:57
Young folks,"Peter, Björn & John featuring Victoria Bergsman",2022-01-03T05:53
You broke me first,Tate McRae,2022-01-03T05:50
I've been thinking about you,Londonbeat,2022-01-03T05:47
Alive,Empire Of The Sun,2022-01-03T05:43
Friendships (Lost my love),Pascal Letoublon feat. Leony,2022-01-03T05:40
Halfway gone,Lifehouse,2022-01-03T05:36
Be kind,Marshmello & Halsey,2022-01-03T05:33
ASAP,Milow,2022-01-03T05:26
Mad love,Mabel,2022-01-03T05:24
Would I lie to you,Nico Santos,2022-01-03T05:20
Love & pride,King,2022-01-03T05:17
Good 4 U,Olivia Rodrigo,2022-01-03T05:13
Here goes nothing,Michael Schulte,2022-01-03T05:10
Stadt,Cassandra Steen feat. Adel Tawil,2022-01-03T05:06
Love tonight,Shouse,2022-01-03T05:03
I don't like Mondays,Bon Jovi & Bob Geldof,2022-01-03T04:55
You found me,The Fray,2022-01-03T04:52
Dopamine,Purple Disco Machine Feat. Eyelar,2022-01-03T04:48
mmmbop,Hanson,2022-01-03T04:42
Summer of love,Shawn Mendes & Tainy,2022-01-03T04:40
After the rain,Nickelback,2022-01-03T04:35
Mood,24kGoldn feat. Iann Dior,2022-01-03T04:32
Here is gone,The Goo Goo Dolls,2022-01-03T04:27
Smile,Katy Perry,2022-01-03T04:25
Cry a little less,Kelvin Jones,2022-01-03T04:21
Summer of '69,Bryan Adams,2022-01-03T04:18
Salt,Ava Max,2022-01-03T04:13
Looks like me,Dean Lewis,2022-01-03T04:10
In the shadows,The Rasmus,2022-01-03T04:06
Love again,Dua Lipa,2022-01-03T04:03
You'll never walk alone,Marcus Mumford,2022-01-03T03:57
You'll never walk alone,Marcus Mumford,2022-01-03T03:57
So sick,Ne-Yo,2022-01-03T03:55
True love,Joris,2022-01-03T03:52
Mr. Know it all,Kelly Clarkson,2022-01-03T03:47
Throwback,Michael Patrick Kelly,2022-01-03T03:44
Around the world,Daft Punk,2022-01-03T03:40
Shivers,Ed Sheeran,2022-01-03T03:36
Colorado,Milky Chance,2022-01-03T03:34
Sky love,Foxes,2022-01-03T03:29
Stop this flame,Celeste,2022-01-03T03:19
Mr. Roboto,Styx,2022-01-03T03:14
Manila,Ray Dalton  X Alvaro Soler,2022-01-03T03:11
American pie,Madonna,2022-01-03T03:06
Thats what I want,Lil Nas X,2022-01-03T03:04
Beautiful,Christina Aguilera,2022-01-03T02:55
Someone to you,Banners,2022-01-03T02:53
Beautiful mistakes (no rap version),Maroon 5,2022-01-03T02:50
Glow,MadCon,2022-01-03T02:44
Johnny and Mary,Robert Palmer,2022-01-03T02:40
Sunshine,OneRepublic,2022-01-03T02:38
Engel fliegen einsam,Christina Stürmer,2022-01-03T02:33
Heat waves,Glass Animals,2022-01-03T02:30
All that she wants,Ace of Base,2022-01-03T02:25
Learn to say no,Kayma,2022-01-03T02:23
Save your tears,The Weeknd,2022-01-03T02:19
When I'm alone,Lissie,2022-01-03T02:15
I swear to god,Maël & Jonas,2022-01-03T02:13
Eternity,Robbie Williams,2022-01-03T02:07
Alright,Alle Farben feat. Kiddo,2022-01-03T02:04
Black & gold,Sam Sparro,2022-01-03T01:56
Little bit of love,Tom Grennan,2022-01-03T01:54
Love makes you shine,Rea Garvey X YouNotUs X Kush Kush,2022-01-03T01:50
Sunchyme,Dario G,2022-01-03T01:46
That's how it goes,Zoe Wees feat. 6lack,2022-01-03T01:43
Astronaut,Sido feat. Andreas Bourani,2022-01-03T01:39
Tell it to my heart,"Meduza, Hozier",2022-01-03T01:34
Hold me,Myle,2022-01-03T01:31
Born in the U.S.A,Bruce Springsteen,2022-01-03T01:25
My universe,Coldplay x BTS,2022-01-03T01:21
Word up,Cameo,2022-01-03T01:17
Hometown,Sea Girls,2022-01-03T01:14
Born in the U.S.A,Bruce Springsteen,2022-01-03T01:13
In the end,Linkin Park,2022-01-03T01:11
Out of reach,Gabrielle,2022-01-03T01:07
Never let me down,VIZE & Tom Gregory,2022-01-03T01:05
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-03T00:57
Black & gold,Sam Sparro,2022-01-03T01:56
Little bit of love,Tom Grennan,2022-01-03T01:54
Love makes you shine,Rea Garvey X YouNotUs X Kush Kush,2022-01-03T01:50
Sunchyme,Dario G,2022-01-03T01:46
That's how it goes,Zoe Wees feat. 6lack,2022-01-03T01:43
Astronaut,Sido feat. Andreas Bourani,2022-01-03T01:39
Tell it to my heart,"Meduza, Hozier",2022-01-03T01:34
Hold me,Myle,2022-01-03T01:31
Born in the U.S.A,Bruce Springsteen,2022-01-03T01:25
My universe,Coldplay x BTS,2022-01-03T01:21
Word up,Cameo,2022-01-03T01:17
Hometown,Sea Girls,2022-01-03T01:14
Born in the U.S.A,Bruce Springsteen,2022-01-03T01:13
In the end,Linkin Park,2022-01-03T01:11
Out of reach,Gabrielle,2022-01-03T01:07
Never let me down,VIZE & Tom Gregory,2022-01-03T01:05
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-03T00:57
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-03T00:57
Burn,Ellie Goulding,2022-01-03T00:54
Only wanna be with you,Post Malone,2022-01-03T00:48
Rent,Pet Shop Boys,2022-01-03T00:44
Das Größte,Revolverheld,2022-01-03T00:41
Can't fight the moonlight (Theme),LeAnn Rimes,2022-01-03T00:36
Brooklyn,Glockenbach feat. ClockClock,2022-01-03T00:33
Read all about it (Part 3),Emeli Sandé,2022-01-03T00:27
One more time (feat. alida),Robin Schulz & Felix Jaehn feat. Alida,2022-01-03T00:24
Let's get rocked,Def Leppard,2022-01-03T00:18
Nights like this,St. Lundi,2022-01-03T00:15
You should be sad,Halsey,2022-01-03T00:12
High,James Blunt,2022-01-03T00:08
Cold heart,"Elton John, Dua Lipa",2022-01-03T00:04
Without you,The Kid Laroi,2022-01-02T23:57
Without you,The Kid Laroi,2022-01-02T23:57
Read my mind,The Killers,2022-01-02T23:53
Let you,Iann Dior,2022-01-02T23:49
Tonight tonight,Celeste,2022-01-02T23:45
Talking in your sleep,The Romantics,2022-01-02T23:41
Nothing's gonna change,"Shuko, Lee Fields & Nia Wyn",2022-01-02T23:38
Only human,Jonas Brothers,2022-01-02T23:34
Thats what I want,Lil Nas X,2022-01-02T23:32
Life is a highway,Tom Cochrane,2022-01-02T23:27
Don't be shy,Tiësto,2022-01-02T23:24
Der Weg,Herbert Grönemeyer,2022-01-02T23:15
Stack it up,Liam Payne feat. A Boogie wit da Hoodie,2022-01-02T23:11
Hollywood hills,Sunrise Avenue,2022-01-02T23:07
Love again,Dua Lipa,2022-01-02T23:05
Beautiful madness,Michael Patrick Kelly,2022-01-02T22:57
Beautiful madness,Michael Patrick Kelly,2022-01-02T22:57
All the small things,Blink 182,2022-01-02T22:54
Higher love,Kygo & Whitney Houston,2022-01-02T22:50
Shivers,Ed Sheeran,2022-01-02T22:47
How to live,Leepa,2022-01-02T22:44
Wings,Armand VanHelden,2022-01-02T22:41
Are you lonely,Welshly Arms,2022-01-02T22:38
Push the feeling on,Nightcrawlers,2022-01-02T22:34
Unforgettable,Nico Santos,2022-01-02T22:30
Whatever it takes,Milow,2022-01-02T22:27
It feels so good,Sonique,2022-01-02T22:23
Looks like me,Dean Lewis,2022-01-02T22:20
"Sunday, bloody Sunday",U2,2022-01-02T22:14
You broke me first,Tate McRae,2022-01-02T22:10
Don't you worry child,Swedish House Mafia,2022-01-02T22:07
Heat waves,Glass Animals,2022-01-02T22:04
Hollywood,LA Vision & Gigi D'Agostino,2022-01-02T21:56
Leichtes Gepäck,Silbermond,2022-01-02T21:53
Your favourite song,YouNotUs & Julian Perretta,2022-01-02T21:50
It's not my time,3 Doors Down,2022-01-02T21:47
Some say,Nea,2022-01-02T21:44
Who's gonna love me now?,James Morrison,2022-01-02T21:41
Enemy,Imagine Dragons x J.I.D,2022-01-02T21:37
Regulate,Warren G. & Nate Dogg,2022-01-02T21:34
Alright,Alle Farben feat. Kiddo,2022-01-02T21:31
Tango del fuego,Parov Stelar & Georgia Gibbs,2022-01-02T21:28
Don't break the heart,Tom Grennan,2022-01-02T21:24
You take me up,Thompson Twins,2022-01-02T21:20
That's how it goes,Zoe Wees feat. 6lack,2022-01-02T21:14
Let's be lovers tonight,Rea Garvey,2022-01-02T21:10
When the beat drops out,Marlon Roudette,2022-01-02T21:07
Everytime I cry,Ava Max,2022-01-02T21:04
Please don't lie,Hugo Helmig,2022-01-02T20:56
Wenn die Party vorbei ist,Provinz,2022-01-02T20:48
Abcdefu (clean),Gayle,2022-01-02T20:46
Harder to breathe,Maroon 5,2022-01-02T20:42
Blinding lights,The Weeknd,2022-01-02T20:38
Never give up,Sia,2022-01-02T20:35
Brooklyn,Glockenbach feat. ClockClock,2022-01-02T20:32
Don't let me down,Milky Chance & Jack Johnson,2022-01-02T20:28
Breathe again,Toni Braxton,2022-01-02T20:21
So happy it hurts,Bryan Adams,2022-01-02T20:18
My universe,Coldplay x BTS,2022-01-02T20:12
Got 2 luv U,Sean Paul feat. Alexis Jordan,2022-01-02T20:07
Watermelon sugar,Harry Styles,2022-01-02T20:04
Don't go yet,Camila Cabello,2022-01-02T19:57
Don't go yet,Camila Cabello,2022-01-02T19:57
I need you to hate me,JC Stewart,2022-01-02T19:54
One more time,Daft Punk,2022-01-02T19:50
Cold heart,"Elton John, Dua Lipa",2022-01-02T19:46
Regen,Fynn Kliemann,2022-01-02T19:43
"No no no, Part 2","Destiny's Child, N. ""Wyclef"" Jean",2022-01-02T19:40
Nights like this,St. Lundi,2022-01-02T19:37
Of the night,Bastille,2022-01-02T19:32
Good 4 U,Olivia Rodrigo,2022-01-02T19:29
Don't leave me this way,The Communards,2022-01-02T19:24
Summer of love,Shawn Mendes & Tainy,2022-01-02T19:18
All we need is love,Stefanie Heinzmann feat. Jake Isaac,2022-01-02T19:15
Blurry eyes,Michael Patrick Kelly,2022-01-02T19:10
Catch me if you can,Walking On Cars,2022-01-02T19:07
Strip,Lena,2022-01-02T19:04
Lost without you,Delta Goodrem,2022-01-02T18:56
Better tomorrow,Matt Simons,2022-01-02T18:53
